Player_Name,Date,Team,Home/Away,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PLUS_MINUS,Player_Code
James Harden,2026-01-22,LAC,H,LAL,"W, 112-104",True,38,6,21,0.286,2,6,0.333,4,4,1.0,1,6,7,10,2,0,7,0,18,10.2,13,hardeja01
James Harden,2026-01-20,LAC,A,CHI,"L, 110-138",True,31,9,25,0.36,3,9,0.333,3,3,1.0,0,5,5,6,0,0,6,2,24,9.0,-6,hardeja01
James Harden,2026-01-19,LAC,A,WAS,"W, 110-106",True,37,9,17,0.529,0,5,0.0,18,20,0.9,1,6,7,9,1,1,3,2,36,33.6,-3,hardeja01
James Harden,2026-01-16,LAC,A,TOR,"W, 121-117 (OT)",True,42,10,27,0.37,2,15,0.133,9,10,0.9,0,2,2,10,1,1,4,4,31,19.4,-3,hardeja01
LeBron James,2026-01-24,LAL,A,DAL,"W, 116-110",True,37,8,16,0.5,1,3,0.333,0,0,0.0,2,6,8,5,1,1,1,2,17,15.6,-8,jamesle01
LeBron James,2026-01-22,LAL,A,LAC,"L, 104-112",True,36,9,19,0.474,1,4,0.25,4,5,0.8,0,5,5,6,2,0,4,1,23,16.2,-7,jamesle01
LeBron James,2026-01-20,LAL,A,DEN,"W, 115-107",True,34,8,15,0.533,1,1,1.0,2,6,0.333,1,8,9,8,0,0,6,2,19,12.0,13,jamesle01
LeBron James,2026-01-18,LAL,H,TOR,"W, 110-93",True,32,9,17,0.529,2,4,0.5,4,4,1.0,2,2,4,7,0,2,3,0,24,21.0,18,jamesle01
LeBron James,2026-01-17,LAL,A,POR,"L, 116-132",True,32,6,16,0.375,1,3,0.333,7,7,1.0,1,8,9,8,1,2,4,2,20,17.5,-16,jamesle01
Nikola Jokic,2025-12-29,DEN,A,MIA,"L, 123-147",True,19,9,14,0.643,1,4,0.25,2,3,0.667,2,3,5,8,0,0,2,1,21,19.9,-1,jokicni01
Nikola Jokic,2025-12-27,DEN,A,ORL,"L, 126-127",True,38,11,22,0.5,0,0,0.0,12,13,0.923,7,14,21,12,1,0,4,1,34,36.7,16,jokicni01
Nikola Jokic,2025-12-25,DEN,H,MIN,"W, 142-138 (OT)",True,43,15,21,0.714,4,6,0.667,22,23,0.957,5,11,16,15,0,2,5,2,56,59.8,15,jokicni01
Nikola Jokic,2025-12-23,DEN,A,DAL,"L, 130-131",True,36,12,22,0.545,5,10,0.5,0,0,0.0,3,4,7,14,4,0,4,4,29,29.9,2,jokicni01
Nikola Jokic,2025-12-22,DEN,H,UTA,"W, 135-112",True,29,5,7,0.714,1,1,1.0,3,4,0.75,2,11,13,13,2,3,2,2,14,25.8,22,jokicni01
Kawhi Leonard,2026-01-25,LAC,H,BRK,"W, 126-89",True,25,9,17,0.529,2,7,0.286,8,9,0.889,1,4,5,2,1,1,1,0,28,23.3,14,leonaka01
Kawhi Leonard,2026-01-22,LAC,H,LAL,"W, 112-104",True,26,9,19,0.474,3,7,0.429,3,3,1.0,1,4,5,4,1,0,2,2,24,17.2,1,leonaka01
Kawhi Leonard,2026-01-14,LAC,H,WAS,"W, 119-105",True,30,9,22,0.409,7,11,0.636,8,8,1.0,0,3,3,4,4,0,1,0,33,27.9,7,leonaka01
Kawhi Leonard,2026-01-12,LAC,H,CHO,"W, 117-109",True,31,11,19,0.579,5,9,0.556,8,9,0.889,0,5,5,3,0,0,1,0,35,28.3,8,leonaka01
Kawhi Leonard,2026-01-10,LAC,A,DET,"W, 98-92",True,31,8,13,0.615,4,7,0.571,6,9,0.667,1,7,8,1,4,0,3,1,26,23.0,12,leonaka01
Iman Quickley,2026-01-25,TOR,A,OKC,"W, 103-101",True,32,7,14,0.5,6,10,0.6,3,4,0.75,1,10,11,2,2,0,1,1,23,21.3,2,quickim01
Iman Quickley,2026-01-23,TOR,A,POR,"W, 110-98",True,34,9,15,0.6,2,4,0.5,0,0,0.0,0,8,8,7,2,0,1,1,20,21.0,9,quickim01
Iman Quickley,2026-01-21,TOR,A,SAC,"W, 122-109",True,36,6,12,0.5,1,4,0.25,5,5,1.0,1,5,6,8,2,0,2,2,18,19.0,15,quickim01
Iman Quickley,2026-01-20,TOR,A,GSW,"W, 145-127",True,34,11,13,0.846,7,8,0.875,11,11,1.0,0,2,2,10,2,0,3,4,40,40.3,1,quickim01
Iman Quickley,2026-01-18,TOR,A,LAL,"L, 93-110",True,29,4,9,0.444,1,4,0.25,0,0,0.0,0,3,3,7,1,0,1,1,9,9.7,-11,quickim01
Karl-Anthony Towns,2026-01-24,NYK,A,PHI,"W, 112-109",True,16,2,4,0.5,1,2,0.5,5,7,0.714,0,6,6,1,0,1,2,6,10,6.0,-6,townska01
Karl-Anthony Towns,2026-01-21,NYK,H,BRK,"W, 120-66",False,20,5,8,0.625,2,3,0.667,2,2,1.0,1,7,8,3,1,0,2,3,14,13.1,21,townska01
Karl-Anthony Towns,2026-01-19,NYK,H,DAL,"L, 97-114",True,30,9,19,0.474,2,5,0.4,2,4,0.5,5,13,18,4,1,1,5,5,22,16.4,-15,townska01
Karl-Anthony Towns,2026-01-17,NYK,H,PHO,"L, 99-106",True,35,7,16,0.438,3,8,0.375,6,6,1.0,2,9,11,2,1,1,3,5,23,16.8,-5,townska01
Karl-Anthony Towns,2026-01-15,NYK,A,GSW,"L, 113-126",True,31,6,14,0.429,2,4,0.5,3,4,0.75,8,12,20,2,1,1,2,5,17,17.5,4,townska01
Jonathan Valanciunas,2026-01-22,DEN,A,WAS,"W, 107-97",True,22,6,13,0.462,0,1,0.0,4,4,1.0,4,5,9,2,0,0,0,5,16,13.0,-3,valanjo01
Jonathan Valanciunas,2025-12-31,DEN,A,TOR,"W, 106-103",True,23,5,6,0.833,0,0,0.0,7,8,0.875,1,8,9,4,1,3,1,2,17,21.6,2,valanjo01
Jonathan Valanciunas,2025-12-29,DEN,A,MIA,"L, 123-147",False,16,3,3,1.0,0,0,0.0,0,0,0.0,1,3,4,1,0,1,2,3,6,4.9,-9,valanjo01
Jonathan Valanciunas,2025-12-27,DEN,A,ORL,"L, 126-127",False,10,2,3,0.667,0,0,0.0,0,0,0.0,1,3,4,1,0,0,3,4,4,0.4,-17,valanjo01
Jonathan Valanciunas,2025-12-25,DEN,H,MIN,"W, 142-138 (OT)",False,10,1,5,0.2,0,0,0.0,0,0,0.0,0,4,4,1,0,0,1,2,2,-1.0,-9,valanjo01
Russell Westbrook,2026-01-25,SAC,A,DET,"L, 116-139",True,22,4,9,0.444,2,3,0.667,3,3,1.0,1,1,2,4,2,0,4,4,13,8.5,-16,westbru01
Russell Westbrook,2026-01-23,SAC,A,CLE,"L, 118-123",True,27,3,12,0.25,3,10,0.3,2,2,1.0,1,4,5,3,0,0,0,2,11,7.0,-18,westbru01
Russell Westbrook,2026-01-21,SAC,H,TOR,"L, 109-122",True,35,9,22,0.409,2,8,0.25,3,3,1.0,0,3,3,3,3,0,4,2,23,12.4,-16,westbru01
Russell Westbrook,2026-01-20,SAC,H,MIA,"L, 117-130",True,31,9,14,0.643,1,6,0.167,3,4,0.75,1,1,2,7,2,1,6,3,22,16.8,-13,westbru01
Russell Westbrook,2026-01-18,SAC,H,POR,"L, 110-117",True,34,9,15,0.6,3,6,0.5,2,3,0.667,0,3,3,7,3,0,2,2,23,21.7,-7,westbru01
Trae Young,2025-12-27,ATL,H,NYK,"L, 125-128",True,31,2,9,0.222,0,4,0.0,5,5,1.0,0,0,0,10,2,0,6,3,9,5.3,-13,youngtr01
Trae Young,2025-12-26,ATL,H,MIA,"L, 111-126",True,32,8,16,0.5,5,8,0.625,9,9,1.0,0,2,2,6,1,0,4,2,30,23.0,-1,youngtr01
Trae Young,2025-12-23,ATL,H,CHI,"L, 123-126",True,31,7,16,0.438,1,7,0.143,7,9,0.778,0,1,1,15,2,0,1,1,22,24.2,2,youngtr01
Trae Young,2025-12-21,ATL,H,CHI,"L, 150-152",True,26,10,16,0.625,7,9,0.778,8,9,0.889,0,1,1,9,0,0,2,3,35,30.8,2,youngtr01
Trae Young,2025-12-18,ATL,A,CHO,"L, 126-133",True,20,3,8,0.375,0,5,0.0,2,2,1.0,0,1,1,10,1,0,3,2,8,8.1,-3,youngtr01
Ivica Zubac,2026-01-25,LAC,H,BRK,"W, 126-89",True,23,4,5,0.8,0,0,0.0,3,4,0.75,1,9,10,1,1,0,1,3,11,11.6,4,zubaciv01
Ivica Zubac,2026-01-22,LAC,H,LAL,"W, 112-104",True,32,7,13,0.538,0,0,0.0,4,4,1.0,10,9,19,0,1,0,1,3,18,20.2,15,zubaciv01
Ivica Zubac,2026-01-20,LAC,A,CHI,"L, 110-138",True,22,5,12,0.417,0,0,0.0,2,3,0.667,5,6,11,1,0,0,0,0,12,11.2,-8,zubaciv01
Ivica Zubac,2026-01-19,LAC,A,WAS,"W, 110-106",True,30,7,10,0.7,0,0,0.0,0,0,0.0,3,9,12,1,0,1,5,0,14,11.0,-3,zubaciv01
Ivica Zubac,2026-01-16,LAC,A,TOR,"W, 121-117 (OT)",True,39,7,10,0.7,0,0,0.0,2,3,0.667,3,11,14,2,0,0,2,3,16,15.0,15,zubaciv01
Donovan Mitchell,2026-01-24,CLE,A,ORL,"W, 119-105",True,38,15,30,0.5,2,8,0.25,4,5,0.8,2,3,5,9,2,0,3,4,36,26.6,15,mitchdo01
Donovan Mitchell,2026-01-23,CLE,H,SAC,"W, 123-118",True,34,11,25,0.44,5,12,0.417,6,7,0.857,0,5,5,8,1,0,1,3,33,25.4,5,mitchdo01
Donovan Mitchell,2026-01-21,CLE,A,CHO,"W, 94-87",True,37,8,20,0.4,2,8,0.25,6,7,0.857,1,2,3,6,1,0,8,1,24,10.9,-3,mitchdo01
Donovan Mitchell,2026-01-19,CLE,H,OKC,"L, 104-136",True,35,5,18,0.278,1,9,0.111,8,11,0.727,1,3,4,3,3,0,1,1,19,12.5,-26,mitchdo01
Donovan Mitchell,2026-01-16,CLE,A,PHI,"W, 117-115",True,39,4,13,0.308,4,7,0.571,1,2,0.5,1,8,9,12,1,0,6,1,13,11.2,-2,mitchdo01
